SCATS_Number,SCATS Neighbours,NB_LATITUDE,NB_LONGITUDE,V00
970,2846 3685,-37.86703,145.09159,86
970,2846 3685,-37.86703,145.09159,32
970,2846 3685,-37.86703,145.09159,26
970,2846 3685,-37.86703,145.09159,32
970,2846 3685,-37.86703,145.09159,40
970,2846 3685,-37.86703,145.09159,36
970,2846 3685,-37.86703,145.09159,62
970,2846 3685,-37.86703,145.09159,116
970,2846 3685,-37.86703,145.09159,23
970,2846 3685,-37.86703,145.09159,27
970,2846 3685,-37.86703,145.09159,38
970,2846 3685,-37.86703,145.09159,28
970,2846 3685,-37.86703,145.09159,34
970,2846 3685,-37.86703,145.09159,61
970,2846 3685,-37.86703,145.09159,97
970,2846 3685,-37.86703,145.09159,18
970,2846 3685,-37.86703,145.09159,20
970,2846 3685,-37.86703,145.09159,39
970,2846 3685,-37.86703,145.09159,29
970,2846 3685,-37.86703,145.09159,50
970,2846 3685,-37.86703,145.09159,64
970,2846 3685,-37.86703,145.09159,107
970,2846 3685,-37.86703,145.09159,33
970,2846 3685,-37.86703,145.09159,25
970,2846 3685,-37.86703,145.09159,32
970,2846 3685,-37.86703,145.09159,40
970,2846 3685,-37.86703,145.09159,30
970,2846 3685,-37.86703,145.09159,67
970,2846 3685,-37.86703,145.09159,94
970,2846 3685,-37.86703,145.09159,44
970,2846 3685,-37.86703,145.09159,35
970,2846 3685,-37.86735,145.09195,37
970,2846 3685,-37.86735,145.09195,10
970,2846 3685,-37.86735,145.09195,8
970,2846 3685,-37.86735,145.09195,6
970,2846 3685,-37.86735,145.09195,10
970,2846 3685,-37.86735,145.09195,9
970,2846 3685,-37.86735,145.09195,27
970,2846 3685,-37.86735,145.09195,40
970,2846 3685,-37.86735,145.09195,9
970,2846 3685,-37.86735,145.09195,8
970,2846 3685,-37.86735,145.09195,13
970,2846 3685,-37.86735,145.09195,8
970,2846 3685,-37.86735,145.09195,15
970,2846 3685,-37.86735,145.09195,32
970,2846 3685,-37.86735,145.09195,29
970,2846 3685,-37.86735,145.09195,11
970,2846 3685,-37.86735,145.09195,11
970,2846 3685,-37.86735,145.09195,22
970,2846 3685,-37.86735,145.09195,12
970,2846 3685,-37.86735,145.09195,12
970,2846 3685,-37.86735,145.09195,24
970,2846 3685,-37.86735,145.09195,40
970,2846 3685,-37.86735,145.09195,13
970,2846 3685,-37.86735,145.09195,8
970,2846 3685,-37.86735,145.09195,12
970,2846 3685,-37.86735,145.09195,10
970,2846 3685,-37.86735,145.09195,17
970,2846 3685,-37.86735,145.09195,25
970,2846 3685,-37.86735,145.09195,37
970,2846 3685,-37.86735,145.09195,11
970,2846 3685,-37.86735,145.09195,11
970,2846 3685,-37.8676,145.09146,92
970,2846 3685,-37.8676,145.09146,31
970,2846 3685,-37.8676,145.09146,20
970,2846 3685,-37.8676,145.09146,32
970,2846 3685,-37.8676,145.09146,42
970,2846 3685,-37.8676,145.09146,31
970,2846 3685,-37.8676,145.09146,87
970,2846 3685,-37.8676,145.09146,108
970,2846 3685,-37.8676,145.09146,32
970,2846 3685,-37.8676,145.09146,29
970,2846 3685,-37.8676,145.09146,24
970,2846 3685,-37.8676,145.09146,40
970,2846 3685,-37.8676,145.09146,46
970,2846 3685,-37.8676,145.09146,78
970,2846 3685,-37.8676,145.09146,115
970,2846 3685,-37.8676,145.09146,21
970,2846 3685,-37.8676,145.09146,27
970,2846 3685,-37.8676,145.09146,40
970,2846 3685,-37.8676,145.09146,50
970,2846 3685,-37.8676,145.09146,40
970,2846 3685,-37.8676,145.09146,87
970,2846 3685,-37.8676,145.09146,111
970,2846 3685,-37.8676,145.09146,42
970,2846 3685,-37.8676,145.09146,35
970,2846 3685,-37.8676,145.09146,30
970,2846 3685,-37.8676,145.09146,39
970,2846 3685,-37.8676,145.09146,52
970,2846 3685,-37.8676,145.09146,84
970,2846 3685,-37.8676,145.09146,141
970,2846 3685,-37.8676,145.09146,41
970,2846 3685,-37.8676,145.09146,34
970,2846 3685,-37.86723,145.09103,47
970,2846 3685,-37.86723,145.09103,15
970,2846 3685,-37.86723,145.09103,10
970,2846 3685,-37.86723,145.09103,20
970,2846 3685,-37.86723,145.09103,16
970,2846 3685,-37.86723,145.09103,42
970,2846 3685,-37.86723,145.09103,67
970,2846 3685,-37.86723,145.09103,23
970,2846 3685,-37.86723,145.09103,16
970,2846 3685,-37.86723,145.09103,22
970,2846 3685,-37.86723,145.09103,18
970,2846 3685,-37.86723,145.09103,16
970,2846 3685,-37.86723,145.09103,49
970,2846 3685,-37.86723,145.09103,66
970,2846 3685,-37.86723,145.09103,18
970,2846 3685,-37.86723,145.09103,11
970,2846 3685,-37.86723,145.09103,22
970,2846 3685,-37.86723,145.09103,20
970,2846 3685,-37.86723,145.09103,29
970,2846 3685,-37.86723,145.09103,51
970,2846 3685,-37.86723,145.09103,60
970,2846 3685,-37.86723,145.09103,18
970,2846 3685,-37.86723,145.09103,27
970,2846 3685,-37.86723,145.09103,22
970,2846 3685,-37.86723,145.09103,22
970,2846 3685,-37.86723,145.09103,21
970,2846 3685,-37.86723,145.09103,51
970,2846 3685,-37.86723,145.09103,52
970,2846 3685,-37.86723,145.09103,15
970,2846 3685,-37.86723,145.09103,15
2000,3685 4043 3682,-37.8516827,145.0943457,46
2000,3685 4043 3682,-37.8516827,145.0943457,14
2000,3685 4043 3682,-37.8516827,145.0943457,11
2000,3685 4043 3682,-37.8516827,145.0943457,16
2000,3685 4043 3682,-37.8516827,145.0943457,26
2000,3685 4043 3682,-37.8516827,145.0943457,19
2000,3685 4043 3682,-37.8516827,145.0943457,43
2000,3685 4043 3682,-37.8516827,145.0943457,79
2000,3685 4043 3682,-37.8516827,145.0943457,15
2000,3685 4043 3682,-37.8516827,145.0943457,15
2000,3685 4043 3682,-37.8516827,145.0943457,24
2000,3685 4043 3682,-37.8516827,145.0943457,14
2000,3685 4043 3682,-37.8516827,145.0943457,77
2000,3685 4043 3682,-37.8516827,145.0943457,6
2000,3685 4043 3682,-37.8516827,145.0943457,11
2000,3685 4043 3682,-37.8516827,145.0943457,23
2000,3685 4043 3682,-37.8516827,145.0943457,25
2000,3685 4043 3682,-37.8516827,145.0943457,49
2000,3685 4043 3682,-37.8516827,145.0943457,78
2000,3685 4043 3682,-37.8516827,145.0943457,19
2000,3685 4043 3682,-37.8516827,145.0943457,19
2000,3685 4043 3682,-37.8516827,145.0943457,23
2000,3685 4043 3682,-37.8516827,145.0943457,21
2000,3685 4043 3682,-37.8516827,145.0943457,22
2000,3685 4043 3682,-37.8516827,145.0943457,32
2000,3685 4043 3682,-37.8516827,145.0943457,66
2000,3685 4043 3682,-37.8516827,145.0943457,26
2000,3685 4043 3682,-37.8516827,145.0943457,17
2000,3685 4043 3682,-37.85193,145.09463,94
2000,3685 4043 3682,-37.85193,145.09463,46
2000,3685 4043 3682,-37.85193,145.09463,28
2000,3685 4043 3682,-37.85193,145.09463,32
2000,3685 4043 3682,-37.85193,145.09463,34
2000,3685 4043 3682,-37.85193,145.09463,48
2000,3685 4043 3682,-37.85193,145.09463,46
2000,3685 4043 3682,-37.85193,145.09463,120
2000,3685 4043 3682,-37.85193,145.09463,26
2000,3685 4043 3682,-37.85193,145.09463,31
2000,3685 4043 3682,-37.85193,145.09463,44
2000,3685 4043 3682,-37.85193,145.09463,35
2000,3685 4043 3682,-37.85193,145.09463,111
2000,3685 4043 3682,-37.85193,145.09463,32
2000,3685 4043 3682,-37.85193,145.09463,25
2000,3685 4043 3682,-37.85193,145.09463,52
2000,3685 4043 3682,-37.85193,145.09463,37
2000,3685 4043 3682,-37.85193,145.09463,49
2000,3685 4043 3682,-37.85193,145.09463,78
2000,3685 4043 3682,-37.85193,145.09463,102
2000,3685 4043 3682,-37.85193,145.09463,37
2000,3685 4043 3682,-37.85193,145.09463,21
2000,3685 4043 3682,-37.85193,145.09463,35
2000,3685 4043 3682,-37.85193,145.09463,35
2000,3685 4043 3682,-37.85193,145.09463,33
2000,3685 4043 3682,-37.85193,145.09463,79
2000,3685 4043 3682,-37.85193,145.09463,98
2000,3685 4043 3682,-37.85193,145.09463,48
2000,3685 4043 3682,-37.85193,145.09463,33
2000,3685 4043 3682,-37.85221,145.09425,110
2000,3685 4043 3682,-37.85221,145.09425,28
2000,3685 4043 3682,-37.85221,145.09425,23
2000,3685 4043 3682,-37.85221,145.09425,30
2000,3685 4043 3682,-37.85221,145.09425,40
2000,3685 4043 3682,-37.85221,145.09425,38
2000,3685 4043 3682,-37.85221,145.09425,72
2000,3685 4043 3682,-37.85221,145.09425,116
2000,3685 4043 3682,-37.85221,145.09425,32
2000,3685 4043 3682,-37.85221,145.09425,35
2000,3685 4043 3682,-37.85221,145.09425,29
2000,3685 4043 3682,-37.85221,145.09425,26
2000,3685 4043 3682,-37.85221,145.09425,108
2000,3685 4043 3682,-37.85221,145.09425,20
2000,3685 4043 3682,-37.85221,145.09425,27
2000,3685 4043 3682,-37.85221,145.09425,41
2000,3685 4043 3682,-37.85221,145.09425,36
2000,3685 4043 3682,-37.85221,145.09425,83
2000,3685 4043 3682,-37.85221,145.09425,115
2000,3685 4043 3682,-37.85221,145.09425,36
2000,3685 4043 3682,-37.85221,145.09425,23
2000,3685 4043 3682,-37.85221,145.09425,30
2000,3685 4043 3682,-37.85221,145.09425,37
2000,3685 4043 3682,-37.85221,145.09425,37
